repo_name,pr_number,num_files_changed,lines_added,lines_removed,review_time_in_hours,pr_description_length,num_comments,num_participants,pr_status
freeCodeCamp/freeCodeCamp,56601,3,43,2,8.894444444444444,965,0,3,merged
freeCodeCamp/freeCodeCamp,56600,8,9,11,8.92361111111111,997,0,3,merged
freeCodeCamp/freeCodeCamp,56593,1,1,1,2.093611111111111,728,0,3,merged
freeCodeCamp/freeCodeCamp,56586,1,1,1,6.785,960,0,3,merged
freeCodeCamp/freeCodeCamp,56581,1,54,6,25.78472222222222,994,2,3,merged
freeCodeCamp/freeCodeCamp,56577,3,6,10,1.7138888888888888,1010,4,3,merged
freeCodeCamp/freeCodeCamp,56564,1,1,0,3.6352777777777776,1019,0,3,merged
freeCodeCamp/freeCodeCamp,56546,1,100,100,65.41972222222222,750,0,5,merged
freeCodeCamp/freeCodeCamp,56541,1,14,6,11.828888888888889,411,0,2,closed
freeCodeCamp/freeCodeCamp,56524,1,1,1,2.2255555555555557,1123,1,3,merged
freeCodeCamp/freeCodeCamp,56522,1,2,3,2.5997222222222223,941,0,3,merged
freeCodeCamp/freeCodeCamp,56516,1,1,1,8.145555555555555,864,0,3,merged
freeCodeCamp/freeCodeCamp,56514,2,3,3,7.230555555555555,895,0,3,merged
freeCodeCamp/freeCodeCamp,56508,1,1,20,3.756666666666667,1059,0,3,merged
freeCodeCamp/freeCodeCamp,56507,1,8,8,18.16138888888889,922,0,3,merged
freeCodeCamp/freeCodeCamp,56506,1,8,8,18.579166666666666,889,1,2,closed
freeCodeCamp/freeCodeCamp,56504,1,2,2,81.84138888888889,861,0,3,merged
freeCodeCamp/freeCodeCamp,56503,1,2,2,3.3538888888888887,1359,1,3,merged
freeCodeCamp/freeCodeCamp,56502,3,3,3,4.797777777777778,753,1,3,merged
freeCodeCamp/freeCodeCamp,56499,1,3,3,8.205277777777777,478,1,3,merged
freeCodeCamp/freeCodeCamp,56496,1,4,4,1.3611111111111112,860,4,2,closed
freeCodeCamp/freeCodeCamp,56493,1,165,101,24.223333333333333,419,5,4,merged
freeCodeCamp/freeCodeCamp,56488,1,2,2,5.850555555555555,413,0,3,merged
freeCodeCamp/freeCodeCamp,56485,21,404,281,20.889722222222222,409,4,2,closed
freeCodeCamp/freeCodeCamp,56483,2,6,2,20.176388888888887,736,0,4,merged
EbookFoundation/free-programming-books,11425,1,6,0,1.2116666666666667,860,1,2,closed
EbookFoundation/free-programming-books,11419,1,2,2,14.536944444444444,1246,2,2,merged
EbookFoundation/free-programming-books,11418,1,1,0,15.758888888888889,921,0,3,merged
EbookFoundation/free-programming-books,11403,1,8,0,18.731666666666666,1153,2,2,closed
EbookFoundation/free-programming-books,11402,0,0,0,15.466944444444444,903,0,2,closed
EbookFoundation/free-programming-books,11400,1,1,0,5.561944444444444,1311,0,2,merged
EbookFoundation/free-programming-books,11397,1,2,0,9.918611111111112,986,1,2,merged
EbookFoundation/free-programming-books,11396,1,1,0,10.378055555555555,987,1,2,merged
EbookFoundation/free-programming-books,11393,1,2,1,18.07,1293,7,2,merged
EbookFoundation/free-programming-books,11391,1,1,0,25.70861111111111,857,0,2,merged
EbookFoundation/free-programming-books,11389,1,1,0,27.35611111111111,1100,0,3,merged
EbookFoundation/free-programming-books,11388,1,1,0,27.24972222222222,1180,2,3,merged
EbookFoundation/free-programming-books,11387,1,1,0,11.037222222222223,1580,1,2,merged
EbookFoundation/free-programming-books,11385,1,1,0,11.649444444444445,1238,1,2,merged
EbookFoundation/free-programming-books,11381,1,1,1,53.50194444444445,15583,0,2,merged
EbookFoundation/free-programming-books,11380,1,1,0,17.991666666666667,943,2,2,merged
EbookFoundation/free-programming-books,11378,1,1,0,18.399166666666666,950,2,2,merged
EbookFoundation/free-programming-books,11377,1,2,0,19.036666666666665,904,0,2,merged
EbookFoundation/free-programming-books,11375,1,1,0,27.221666666666668,1502,2,2,merged
EbookFoundation/free-programming-books,11361,2,2,0,57.187777777777775,1031,6,3,closed
EbookFoundation/free-programming-books,11351,1,1,0,23.49416666666667,1099,1,2,closed
EbookFoundation/free-programming-books,11349,1,1,0,25.055555555555557,1325,2,2,merged
EbookFoundation/free-programming-books,11346,1,1,0,61.65416666666667,1007,3,2,merged
EbookFoundation/free-programming-books,11345,1,1,0,30.833055555555557,875,2,2,merged
EbookFoundation/free-programming-books,11340,1,1,0,36.46388888888889,860,0,2,merged
sindresorhus/awesome,3149,1,1,1,9.784444444444444,9031,0,2,merged
sindresorhus/awesome,3095,1,1,1,1079.1483333333333,9159,9,3,closed
sindresorhus/awesome,3081,1,1,0,941.8266666666667,9595,7,4,merged
sindresorhus/awesome,3053,1,1,0,295.9163888888889,8413,11,3,merged
sindresorhus/awesome,3029,1,1,0,1856.993888888889,9254,8,4,closed
sindresorhus/awesome,3027,1,1,1,35.66222222222222,59,2,2,closed
sindresorhus/awesome,3003,1,1,0,1704.26,8592,11,3,merged
sindresorhus/awesome,2999,2,6,3,497.06666666666666,9030,6,2,closed
sindresorhus/awesome,2970,1,1,0,149.81277777777777,8877,1,2,closed
sindresorhus/awesome,2958,1,1,0,2808.9630555555555,717,4,2,closed
sindresorhus/awesome,2924,1,1,0,189.41166666666666,9169,4,3,closed
sindresorhus/awesome,2895,1,1,0,4114.0969444444445,9202,18,4,merged
sindresorhus/awesome,2888,1,1,0,1744.1755555555555,8989,4,3,closed
sindresorhus/awesome,2878,1,1,0,1897.0172222222222,8982,2,2,closed
sindresorhus/awesome,2846,1,1,1,1474.1291666666666,86,7,3,closed
sindresorhus/awesome,2837,1,1,0,2639.835,9267,9,3,closed
sindresorhus/awesome,2834,1,1,1,1.3488888888888888,1748,1,2,merged
sindresorhus/awesome,2829,1,1,0,5127.973888888889,8606,7,3,merged
sindresorhus/awesome,2813,1,1,0,2990.1630555555557,9245,4,2,closed
sindresorhus/awesome,2810,1,1,0,3060.061111111111,8681,6,3,closed
sindresorhus/awesome,2804,1,1,0,3141.35,8753,5,2,closed
sindresorhus/awesome,2794,1,34,0,1.571388888888889,8681,2,2,closed
sindresorhus/awesome,2780,0,0,0,751.6766666666666,8706,16,2,closed
sindresorhus/awesome,2763,1,1,0,3407.641111111111,9226,11,2,closed
sindresorhus/awesome,2753,1,1,0,4310.9525,4795,9,5,closed
public-apis/public-apis,3954,1,1,1,1398.6763888888888,902,1,2,closed
public-apis/public-apis,3935,1,1,1,1182.0669444444445,1072,2,2,closed
public-apis/public-apis,3805,2,347,248,1097.9458333333334,902,0,2,merged
public-apis/public-apis,3679,1,1,1,3383.248888888889,902,1,2,closed
public-apis/public-apis,3620,1,1,0,34.45361111111111,902,0,1,closed
public-apis/public-apis,3618,1,1,0,38.913333333333334,904,0,2,closed
public-apis/public-apis,3544,1,1,1,9479.8825,902,1,3,closed
public-apis/public-apis,3510,1,3,0,7172.581388888889,902,2,2,closed
public-apis/public-apis,3480,1,1,0,133.1,902,1,2,closed
public-apis/public-apis,3410,1,1,1,1012.1894444444445,87,0,2,closed
public-apis/public-apis,3342,1,1,1,199.75666666666666,902,0,2,closed
public-apis/public-apis,3268,1,2,0,10007.43,902,6,2,closed
public-apis/public-apis,3237,1,1,0,128.63666666666666,902,1,2,closed
public-apis/public-apis,3235,1,1,0,183.11638888888888,902,1,3,closed
public-apis/public-apis,3211,1,1,0,358.7922222222222,902,1,2,closed
public-apis/public-apis,3197,1,3,2,654.4805555555556,902,2,2,closed
public-apis/public-apis,3171,1,1,0,370.1502777777778,902,10,2,closed
public-apis/public-apis,3157,1,1,0,39.59111111111111,902,1,1,closed
public-apis/public-apis,3146,1,2,0,41.76027777777778,902,1,2,closed
public-apis/public-apis,3102,1,1,0,3.9994444444444444,902,0,2,merged
public-apis/public-apis,3100,1,1,0,21.656111111111112,902,0,2,merged
public-apis/public-apis,3098,1,1,0,40.84777777777778,902,0,2,merged
public-apis/public-apis,3094,1,1,0,30.023333333333333,902,0,2,merged
public-apis/public-apis,3093,1,1,1,12.5125,961,0,2,merged
public-apis/public-apis,3092,1,1,0,72.34194444444445,909,1,2,merged
jwasham/coding-interview-university,1543,1,0,3,4.170277777777778,12,2,2,closed
jwasham/coding-interview-university,1372,1,0,1,20.435277777777777,0,1,2,merged
jwasham/coding-interview-university,1368,1,1247,1128,11.002777777777778,163,1,2,closed
jwasham/coding-interview-university,1357,27,27,27,32.02972222222222,77,0,2,merged
jwasham/coding-interview-university,1352,1,1,0,7.785,249,1,2,merged
jwasham/coding-interview-university,1330,1,10,10,7.8308333333333335,0,1,2,closed
jwasham/coding-interview-university,1292,1,2,1,35.43138888888889,67,1,2,merged
jwasham/coding-interview-university,1288,1,1,0,15.274722222222222,135,2,2,merged
jwasham/coding-interview-university,1267,0,0,0,531.3947222222222,53,3,2,merged
jwasham/coding-interview-university,1228,1,7,4,4.425277777777778,0,2,2,closed
jwasham/coding-interview-university,1220,25,47,25,113.10583333333334,0,3,2,merged
jwasham/coding-interview-university,1213,1,1776,1550,19.583333333333332,297,3,2,merged
jwasham/coding-interview-university,1199,1,5,5,13.155,0,1,2,merged
jwasham/coding-interview-university,1198,1,20,22,14.116944444444444,0,1,2,merged
jwasham/coding-interview-university,1194,1,3,1,295.58694444444444,0,0,2,closed
jwasham/coding-interview-university,1167,2,1408,0,191.08833333333334,37,12,2,merged
jwasham/coding-interview-university,1163,1,39,39,1272.9166666666667,77,2,2,merged
jwasham/coding-interview-university,1157,1,1,1,27.589444444444446,191,2,2,merged
jwasham/coding-interview-university,1154,2,1,1,102.42861111111111,54,7,2,merged
jwasham/coding-interview-university,1129,1,26,26,132.13416666666666,72,1,2,merged
jwasham/coding-interview-university,1106,1,316,352,54.13166666666667,154,3,2,merged
jwasham/coding-interview-university,1100,1,2,2,47.007222222222225,0,3,2,merged
jwasham/coding-interview-university,1054,1,4,4,12.734722222222222,0,1,2,closed
jwasham/coding-interview-university,1036,1,1988,0,381.57138888888886,80,6,2,merged
jwasham/coding-interview-university,1022,2,79,86,39.25833333333333,207,3,2,merged
codecrafters-io/build-your-own-x,1124,1,0,1,57.35,163,1,2,merged
codecrafters-io/build-your-own-x,1107,1,1,1,41.04333333333334,0,5,2,closed
codecrafters-io/build-your-own-x,1084,1,1,0,1829.3041666666666,143,1,2,closed
codecrafters-io/build-your-own-x,1060,1,1,1,168.81305555555556,13,2,4,merged
codecrafters-io/build-your-own-x,1030,1,2,0,54.9325,93,0,2,closed
codecrafters-io/build-your-own-x,961,1,1,0,17.911944444444444,0,0,2,closed
codecrafters-io/build-your-own-x,944,1,1,0,125.55527777777777,14,0,2,closed
codecrafters-io/build-your-own-x,934,1,1,1,637.1402777777778,144,0,2,merged
codecrafters-io/build-your-own-x,893,1,1,0,15.380277777777778,114,0,2,merged
codecrafters-io/build-your-own-x,870,1,1,1,4901.0,0,1,2,closed
codecrafters-io/build-your-own-x,855,1,1,0,39.486666666666665,48,1,2,merged
codecrafters-io/build-your-own-x,809,1,1,0,88.36277777777778,12,1,2,merged
codecrafters-io/build-your-own-x,802,1,1,0,4347.466388888889,137,0,4,closed
codecrafters-io/build-your-own-x,797,1,1,0,15553.372222222222,70,1,2,closed
codecrafters-io/build-your-own-x,795,1,1,0,2048.3005555555555,82,0,2,closed
codecrafters-io/build-your-own-x,775,1,1,1,98.28583333333333,243,1,2,merged
codecrafters-io/build-your-own-x,748,1,1,0,9169.063333333334,83,1,4,closed
codecrafters-io/build-your-own-x,696,1,1,1,68.11916666666667,336,1,2,merged
codecrafters-io/build-your-own-x,678,1,1,0,5825.623611111111,68,1,2,closed
codecrafters-io/build-your-own-x,674,1,0,1,592.4505555555555,0,0,2,merged
codecrafters-io/build-your-own-x,634,1,1,0,1777.5122222222221,60,0,2,closed
codecrafters-io/build-your-own-x,551,1,1,0,19325.106944444444,192,0,2,merged
codecrafters-io/build-your-own-x,542,1,1,0,20204.136666666665,758,0,2,merged
codecrafters-io/build-your-own-x,536,1,1,0,10194.914722222222,11,0,2,closed
codecrafters-io/build-your-own-x,534,1,3,3,581.4930555555555,151,0,2,closed
kamranahmedse/developer-roadmap,7378,1,3,1,1.4175,0,0,2,merged
kamranahmedse/developer-roadmap,7373,2,4,2,21.41638888888889,143,0,2,merged
kamranahmedse/developer-roadmap,7360,1,17,1,46.809444444444445,0,1,2,closed
kamranahmedse/developer-roadmap,7357,1,29,1,49.23138888888889,98,1,2,closed
kamranahmedse/developer-roadmap,7353,1,1,1,23.57138888888889,372,0,2,merged
kamranahmedse/developer-roadmap,7347,1,24,0,71.17138888888888,140,2,2,closed
kamranahmedse/developer-roadmap,7346,1,2,0,36.971666666666664,214,2,2,closed
kamranahmedse/developer-roadmap,7339,5,166,376,3.687777777777778,372,0,2,merged
kamranahmedse/developer-roadmap,7322,6,1035,83,1.7413888888888889,372,0,2,merged
kamranahmedse/developer-roadmap,7319,1,6,2,114.5825,360,3,3,merged
kamranahmedse/developer-roadmap,7313,1,4,1,4.835,102,3,2,closed
kamranahmedse/developer-roadmap,7311,1,0,10,10.073611111111111,304,2,2,closed
kamranahmedse/developer-roadmap,7308,1,4,0,2.3466666666666667,113,0,2,merged
kamranahmedse/developer-roadmap,7304,2,4,62,14.324166666666667,229,6,2,closed
kamranahmedse/developer-roadmap,7301,2,2,0,23.44,202,1,2,merged
kamranahmedse/developer-roadmap,7298,51,91,60,24.75777777777778,205,1,2,merged
kamranahmedse/developer-roadmap,7295,1,8,1,29.031111111111112,29,1,2,merged
kamranahmedse/developer-roadmap,7293,3,6,2,33.22277777777778,0,1,1,merged
kamranahmedse/developer-roadmap,7292,6,987,270,3.495833333333333,372,0,2,merged
kamranahmedse/developer-roadmap,7291,5,23,2,42.56583333333333,482,0,2,merged
kamranahmedse/developer-roadmap,7279,1,11,1,14.766666666666667,68,1,2,merged
kamranahmedse/developer-roadmap,7272,2,4,2,9.386666666666667,202,2,2,merged
kamranahmedse/developer-roadmap,7271,1,21,4,10.516111111111112,372,0,2,merged
kamranahmedse/developer-roadmap,7270,1,7,1,19.637777777777778,13,2,3,merged
kamranahmedse/developer-roadmap,7265,2,10,2,32.934444444444445,0,1,2,closed
donnemartin/system-design-primer,872,1,2,2,128.12444444444444,201,0,2,merged
donnemartin/system-design-primer,867,1,1838,0,713.8138888888889,1019,6,4,closed
donnemartin/system-design-primer,855,4,8,8,1549.1863888888888,0,0,3,merged
donnemartin/system-design-primer,842,2,10,0,2984.851388888889,571,0,2,closed
donnemartin/system-design-primer,823,1,1,1,3264.369166666667,128,0,3,closed
donnemartin/system-design-primer,750,1,5,5,179.93,636,1,2,merged
donnemartin/system-design-primer,717,1,1,1,512.6225,571,1,3,merged
donnemartin/system-design-primer,716,1,1,1,171.035,571,1,2,merged
donnemartin/system-design-primer,705,1,2,0,15251.514166666666,571,0,2,closed
donnemartin/system-design-primer,704,1,1,1,15370.613333333333,571,1,2,closed
donnemartin/system-design-primer,701,1,1,0,8997.188055555556,166,0,2,closed
donnemartin/system-design-primer,694,1,1,1,19.683611111111112,10,1,2,merged
donnemartin/system-design-primer,661,3,3,3,141.21333333333334,0,3,2,merged
donnemartin/system-design-primer,651,1,1,1,651.8033333333333,571,1,2,merged
donnemartin/system-design-primer,634,54,0,0,10008.531111111111,214,5,4,closed
donnemartin/system-design-primer,631,4,4,4,1237.4655555555555,129,1,2,merged
donnemartin/system-design-primer,594,4,4,4,910.3177777777778,671,1,2,merged
donnemartin/system-design-primer,577,1,1853,0,20096.549444444445,571,0,3,closed
donnemartin/system-design-primer,557,1,18,0,20164.744444444445,436,2,2,closed
donnemartin/system-design-primer,511,1,1,1,1815.2416666666666,143,1,3,merged
donnemartin/system-design-primer,505,1,1,1,320.4869444444444,114,1,2,merged
donnemartin/system-design-primer,500,4,4,4,544.7072222222222,753,0,2,merged
donnemartin/system-design-primer,486,1,1,1,1167.0816666666667,28,1,2,merged
donnemartin/system-design-primer,484,0,0,0,31986.01388888889,586,0,2,closed
donnemartin/system-design-primer,481,1,2,2,486.21416666666664,325,1,2,merged
996icu/996.ICU,26105,1,1,1,15.365555555555556,1360,38,2,closed
996icu/996.ICU,26095,1,10,0,4879.205833333333,224,0,2,closed
996icu/996.ICU,26071,10,70,69,11145.679444444444,123,7,2,closed
996icu/996.ICU,26068,1,1,0,124.20722222222223,495,4,2,closed
996icu/996.ICU,26067,1,1,0,11816.224444444444,2,8,2,closed
996icu/996.ICU,26049,1,1,0,3631.8191666666667,0,1,2,closed
996icu/996.ICU,26048,2,1,0,3731.4819444444443,69,1,1,merged
996icu/996.ICU,26047,1,1,0,4019.6594444444445,52,1,2,closed
996icu/996.ICU,26032,1,5,0,3165.6633333333334,0,0,2,closed
996icu/996.ICU,26024,1,0,1,7891.131111111111,0,18,2,closed
996icu/996.ICU,26012,1,1,1,9257.353055555555,15,4,2,merged
996icu/996.ICU,26010,1,1,0,9348.8275,120,3,2,merged
996icu/996.ICU,26008,3,1,0,9547.995,16,2,2,merged
996icu/996.ICU,25999,1,1,0,10954.152222222223,0,2,2,closed
996icu/996.ICU,25990,2,95,0,3705.674722222222,23,416,4,closed
996icu/996.ICU,25980,1,1,0,15304.858888888888,0,1,2,merged
996icu/996.ICU,25926,1,1,1,130.33,126,64,2,closed
996icu/996.ICU,25923,1,1,0,171.25833333333333,52,3,2,merged
996icu/996.ICU,25914,1,1,1,553.1697222222223,24,0,2,merged
996icu/996.ICU,25886,1,1,0,309.32472222222225,3,0,1,closed
996icu/996.ICU,25885,1,6,2,21.692222222222224,0,1,1,closed
996icu/996.ICU,25884,1,3,0,21.698055555555555,0,0,1,closed
996icu/996.ICU,25856,1,1,0,240.13833333333332,66,1,2,merged
996icu/996.ICU,25855,1,1,1,102.40055555555556,121,0,2,merged
996icu/996.ICU,25842,2,10,8,42.07611111111111,2,0,2,merged
facebook/react,31144,8,124,14,2.6838888888888888,177,2,2,merged
facebook/react,31143,2,59,13,2.5405555555555557,0,2,2,merged
facebook/react,31127,2,3,1,2.4619444444444443,1748,3,1,closed
facebook/react,31106,7,102,11,14.645277777777778,518,2,2,merged
facebook/react,31105,7,245,97,7.813611111111111,1056,2,2,merged
facebook/react,31104,3,112,38,1.0416666666666667,1333,6,2,merged
facebook/react,31102,1,4,4,19.715833333333332,718,1,2,merged
facebook/react,31101,1,12,17,31.701944444444443,502,2,2,merged
facebook/react,31088,7,13,13,91.87166666666667,543,2,2,merged
facebook/react,31087,1,6,11,80.97805555555556,272,3,2,merged
facebook/react,31082,2,32,15,91.15138888888889,285,1,2,merged
facebook/react,31081,22,4142,2652,22.14,391,3,3,merged
facebook/react,31078,10,56,32,1.8825,102,1,2,merged
facebook/react,31077,2,3,25,24.99416666666667,156,1,2,closed
facebook/react,31076,5,4,5,1.6455555555555557,128,2,2,merged
facebook/react,31069,3,20,28,5.802777777777778,335,2,2,merged
facebook/react,31067,1,4,0,9.023888888888889,1950,3,2,closed
facebook/react,31066,27,1306,75,186.99722222222223,1281,5,2,merged
facebook/react,31065,2,3,3,1.2947222222222223,2744,2,2,merged
facebook/react,31060,1,4,1,143.4297222222222,136,1,2,merged
facebook/react,31059,1,0,688,143.8686111111111,117,1,2,merged
facebook/react,31056,7,298,137,20.84638888888889,542,2,2,merged
facebook/react,31054,909,939,916,311.40305555555557,324,1,2,closed
facebook/react,31053,6,35,16,311.4038888888889,220,1,2,closed
facebook/react,31052,2,1,6,311.40444444444444,147,1,2,closed
vinta/awesome-python,2607,1,1,0,187.16,0,1,2,closed
vinta/awesome-python,2585,1,1,0,491.2875,289,3,3,closed
vinta/awesome-python,2575,1,1,0,2415.1227777777776,773,2,4,merged
vinta/awesome-python,2564,1,5,2,2219.3905555555557,440,1,3,closed
vinta/awesome-python,2561,1,1,0,388.3880555555556,1184,0,2,closed
vinta/awesome-python,2554,1,0,1,4613.856944444445,394,4,4,closed
vinta/awesome-python,2549,1,1,0,3209.0205555555553,637,0,2,closed
vinta/awesome-python,2546,1,1,1,1130.533888888889,36,0,5,merged
vinta/awesome-python,2543,1,1,0,1425.6583333333333,245,0,4,closed
vinta/awesome-python,2541,1,1,0,5165.325833333333,1082,0,3,closed
